[2022-04-24 02:26:49,704] INFO [django.utils.autoreload.run_with_reloader:597 autoreload] Watching for file changes with StatReloader
[2022-04-24 23:54:16,599] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:665a57bf4f0cb1149caae2ccfe3fd5cf07442a22d1adc3555e51d07a84e008ef
[2022-04-24 23:54:16,599] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:665a57bf4f0cb1149caae2ccfe3fd5cf07442a22d1adc3555e51d07a84e008ef
[2022-04-24 23:54:16,638] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,638] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,638] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:2cf6d2763d19cbda0670ca5a68c1a4412cfe09a961f9671856499710b84619e7
[2022-04-24 23:54:16,638] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:2cf6d2763d19cbda0670ca5a68c1a4412cfe09a961f9671856499710b84619e7
[2022-04-24 23:54:16,680] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,680] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,680] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:b6b0fb0c0d08db653179d9202fe58c6bbce64a27678734623fcff0ffb60fa83c
[2022-04-24 23:54:16,680] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:b6b0fb0c0d08db653179d9202fe58c6bbce64a27678734623fcff0ffb60fa83c
[2022-04-24 23:54:16,725] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,725] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,725] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:5f927471ec822ef5c8b335376a101251c3e7e24f569375f9397adb929508d2ad
[2022-04-24 23:54:16,725] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:5f927471ec822ef5c8b335376a101251c3e7e24f569375f9397adb929508d2ad
[2022-04-24 23:54:16,764] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,764] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,764] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:8d752d46a28463d8918d45c01b55e483a419d8bb52284b12fca2d6a5b421f1c3
[2022-04-24 23:54:16,764] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:8d752d46a28463d8918d45c01b55e483a419d8bb52284b12fca2d6a5b421f1c3
[2022-04-24 23:54:16,801] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,801] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,801] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:dd66e9ebdb80e05e723d2fa87e3d5f092315067da33e20fb26251b2a71b1d477
[2022-04-24 23:54:16,801] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:dd66e9ebdb80e05e723d2fa87e3d5f092315067da33e20fb26251b2a71b1d477
[2022-04-24 23:54:16,839] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,839] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,839] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:bcf1fc388cd095810ff5ffbf4f34389cb9025ca298eb84c80584f3897bab8756
[2022-04-24 23:54:16,839] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:bcf1fc388cd095810ff5ffbf4f34389cb9025ca298eb84c80584f3897bab8756
[2022-04-24 23:54:16,878] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,878] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,878] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:9761880ed21b8a64598a8c12b9e713e761a2bc0b15e61d7e72ac5529fb1be47f
[2022-04-24 23:54:16,878] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:9761880ed21b8a64598a8c12b9e713e761a2bc0b15e61d7e72ac5529fb1be47f
[2022-04-24 23:54:16,917] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,917] WARNING [djangoblog.utils.news:38 utils] 'Tag' object has no attribute 'get_cache_key'
[2022-04-24 23:54:16,917] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:756381873ed030e54c6068ca8e4418f6f5846565a6cb143d9174b29f11082d2d
[2022-04-24 23:54:16,917] INFO [djangoblog.utils.news:53 utils] cache_decorator set cache:get_article_count key:756381873ed030e54c6068ca8e4418f6f5846565a6cb143d9174b29f11082d2d
